text,binary,multiclass,id
"#USER# #USER# I'm really liking this project, let's work together. Your company trusted believe me. And Congratulations on the launch..best wishes for future projects
@AhmedSh27723386 
@KdMokabbir 
@ShakilK70421550",Hope,Realistic Hope,5820
#USER# Oh shit really? I would hope they'd shed some more light on what happened to him in the future,Hope,Generalized Hope,4061
"#USER# Good morning, Bud! 🥰 Another good decision from SCOTUS this morning. The light is still bright and things are hopeful. Have a wonderful day, boo 😘",Hope,Generalized Hope,1621
i aspire to have the level of delusion to believe those thing 1 and thing 2 halloween costumes look better than the new version u cannot be serious💀 #URL#,Hope,Unrealistic Hope,1754
"#USER# #USER# Projects are continuously attacked by hackers That is the nightmare of many projects. So what is your strategy to anticipate hacking possibilities on your platform? #USER# What plan do you have in order not to let project  get hacked and cost investors?
@elradave 
@sis 
@femi",Not Hope,Not Hope,401
#USER# 49ers in the NFL are a private company. They make the rules just like a dress code. He kneeled in public school setting that's why he had to take it to court. I wish you well my friend and peace. Stay safe.,Hope,Generalized Hope,3994
"$SPY $SPX update:
Looking excellent. Pretty neutral day with a push up to $392.94 as a high before settling a tad lower into close. the micro relevant .786 ($382.43) is seen as support here if downside were to occur, but I do anticipate a continuation of this upward trend. #KφF #URL# #URL#",Hope,Generalized Hope,1780
"#USER# Schools are forbidden from initiating or sponsoring religious activities, including prayer, but religious groups are permitted to meet on school grounds after school, and students can pray to whatever or whomever they want at any time of day, as long as they do it privately. FYI",Not Hope,Not Hope,1624
I was in FCA in high-school and was heavily involved in church and with people I played sports with. We prayed on the field before and/or after games. We never had a coach lead prayer and we never outed anybody who didn't want to pray with us. Coaches shouldn't lead team prayer #URL#,Not Hope,Not Hope,1157
"#USER# #USER# #USER# Problem is Gav, 'normal people' are not the brightest.  They will only accept the apocalypse when it sweeps them away......",Not Hope,Not Hope,1131
"#USER# So how many elections has it been now that ""everything is on the line""?

I've lost count",Not Hope,Not Hope,11
"I got baloons😌🌚

A whole year has passed and it's been 365 days of hurdles and massive successes which I’m always grateful to God for and I pray he continues to grant😌💯🙏.

I’m walking into abundance and increase in all spheres of my life😌🥂

Happy Birthday to Me🍾🎂❤️ #URL#",Hope,Generalized Hope,6167
"#USER# Sorry, I can’t count high enough to get an accurate count on either. 😂",Not Hope,Not Hope,1458
"#USER# between two, for all we know, eternities of nothing. Liken it unto a dream. Would you rather have a nightmare, or the great Nostos that we all yearn for?
From what I've learned we can choose the language of our soul. The Bible and Shakespeare taught me that. we can",Hope,Generalized Hope,7369
"and I assure you that all of them along with myself wish you nothing but the best for the rest of your career. Thank you so much, and again...congrats!!",Hope,Generalized Hope,427
"#USER# #USER# #USER# If you take out those that believe the land and The people of Israel are one there isn’t anyone else too talk to . Regardless, the offer on the table stands ,",Not Hope,Not Hope,4452
Really wish they ain’t have to cut some of the horror elements to keep it PG13 #URL#,Hope,Unrealistic Hope,6744
I wish my bf were less attractive to me like how am I supposed to stay mad,Hope,Unrealistic Hope,2102
"#USER# What do you expect them to do?They don't have enough votes in the Senate and any EO will be stayed by SCOTUS.

Refusing to vote for the email lady was the last straw.  It will take decades to get back to 2016.",Not Hope,Not Hope,1372
—I wish to explore 𝐋𝐢𝐥𝐚𝐜’𝐬 more affectionate and nurturing side 𝐒𝐀𝐅𝐄𝐋𝐘. This includes the possibility of her offering her bosom for comfort. If your muse happens to be on the receiving side 𝐃𝐎 𝐍𝐎𝐓 take this as an indication of possible lewd or——,Not Hope,Not Hope,6601
"#USER# My guess is Ali, maybe he's cooperating to have some hope of leniency. A threat on his life from some mobster maybe changed his mind?",Hope,Generalized Hope,6458
"#USER# Neither Sudan 🇸🇩 or Egypt try conventional warfare with 🇪🇹, they are known for their proxy war. Definitely they will call for tea break after 2-3 hrs fight. Count on me.🤣",Not Hope,Not Hope,5076
"#USER# #USER# Do you belive all the polls?
Do you believe most women of all colors are  pretty pissed off and will make their voices heard in November?",Not Hope,Not Hope,7379
#USER# Hoping you see/respond to this: I work on UNLV campus and we weren't sure if you were advising us to evacuate our building/office and go to our fire evac location on campus or to LEAVE campus. 99% of staff were standing around outside. Can you advise?,Not Hope,Not Hope,4483
"#USER# Hold out hope for better and do what we can in the meantime? Hard to be hopeful when things appear to be so bleak, but each day we wake up is another day we fight. 💜",Hope,Generalized Hope,1011
"#USER# Gross. I believe it.

But… she was not a liberal here. She was a republican, who voted for republicans.",Not Hope,Not Hope,224
"#USER# If u want to talk, u can dm me anytime, i’d love to&lt;3 take care and i hope i can see u in my tl more !!",Hope,Generalized Hope,2571
"It's precisely because you love shows, that you yearn for a place where you can give it your all. A place with friends who will accept you.",Hope,Generalized Hope,2727
"Wallahi  Indian Muslims are the bravest Muslims in the whole world whether they are Kashmiri or from any state. Wallahi my Heart bursts when i  see the pain of my people💔. 
Im 😭😭😭😭
We will Rise  Again inshallah
(Yeh Chaman phir Mamoor hoga Ayega wo Daur)
#Muslims",Hope,Unrealistic Hope,3078
"#USER# I hear ya, Cuz.

I've been having those same existential thoughts lately. 

Is ""this"" ""it""?

What we ""strive"" for, ""yearn"" for, nay, ""earn"" for?

Place your thoughts in the comments section, folks, cos' I ain't got the answer. ¯\_(ツ)_/¯",Not Hope,Not Hope,3438
"#USER# The course I wish more people created. 1. Lots of Low poly Animations, great for beginners 2. Characters designing and sculpting 3. Modelling everyday objects including cars 4. Architecture designing in blender. Infographics animation’s in blender, similar to after effects",Hope,Unrealistic Hope,7739
#USER# Please don’t count on it… We need to fight like hell to take every seat in every election… turn it all blue..,Hope,Unrealistic Hope,5833
"""Since when did 'hopeful' and 'naive' become the same thing"" don't freaking bait me into thinking there's actual hope in this show",Not Hope,Not Hope,4086
"Inshallah if I do become a doc and if I leave this country ...I will come back to serve my motherland which made me a doctor  by the free education given from grade 1 to uni, the amazing teaching in the university and a valuable degree which I can proudly hold on to Inshallah 💕",Hope,Realistic Hope,4720
"#USER# Well that reduces my place list by 1, maybe 2 songs.
Throw in Greenday and I  can still count them all on one hand.",Not Hope,Not Hope,676
The swimming pool closure is extended  until 28/06 due to late delivery of essential pool plant chemicals. We apologise for any inconvenience caused.,Not Hope,Not Hope,4787
"#USER# #USER# You have been doing Gods work, I just want to say thanks and anticipate your future recovery 🙏🏾",Hope,Generalized Hope,5065
"#USER# #USER# #USER# #USER# #USER# Not the motivator or driver behind?For you to see,I know for these motivators and drivers are the true spiritual battle. Many are asleep,not spiritually awakened,yet yearn and want for?Deception is rampant,God's Word isn't the deceiver, Satan is and his days are #'d in this realm.",Not Hope,Not Hope,3656
"I'm now my country's enemy. I'm not christain I don't agree a pre 24 week old can live outside the body (fact) and I don't think my kid is allowed to not pray when the HS coach is leading the circle (amd keep playing time)  

I'm the enemy. SCOTUS, thanks for that.
we the ppl lol",Not Hope,Not Hope,1022
I’m so frustrated with the storyline trajectory of the character with bipolar disorder in #USER# Ozark. I appreciate the desire to show the struggle but depicting him as a hopeless cause after he stops taking his medication (and who is dangerous) is just so frustrating! /1,Not Hope,Not Hope,191
"the trash for our food (there are more of us every day as the welfare rolls and unemployment lines grow longer) – how I yearn to destroy their homes, their jobs, their cars, so they could also understand what it is like to live in a world in which there is plenty for  (31/79)",Hope,Unrealistic Hope,561
"#USER# “Please do, I yearn for the touch of my orc queen~” she whispered, grinding against her slowly",Hope,Unrealistic Hope,5718
#USER# 4 things I haven’t done on that list. 5 if being on tv for all of 0.5 seconds doesn’t count.,Not Hope,Not Hope,5229
"When Eric Gill wrote An Essay on Typography in 1931, he probably didn’t anticipate it would live on to become not only the most influential manifesto on typography’s cultural place ever written",Not Hope,Not Hope,639
i really hate how much namjoon's little art gallery photos make me yearn i want what he has,Hope,Unrealistic Hope,76
#USER# They're doing it now hoping everyone will forget and be less angry in November,Hope,Realistic Hope,58
"#USER# Aspire to be a good man, a whole man.
The true measure of a man is not what he dreams, but what he aspires to be; a dream is nothing without action. Whether one fails or succeeds is irrelevant; all that matters is that there was motion in his life. That alone affects the world.”",Not Hope,Not Hope,6607
#USER# #USER# #USER# #USER# #USER# Lol enjoy your L overruled focus on making people believe they get to pick their gender now 🤡,Not Hope,Not Hope,1085
The day I get excited about seeing a zoning event occur in a place I used to watch concerts at is a day I did not anticipate coming. Fridays after 5-over-1s? 🤣 [this is a charlottesville joke] #URL#,Not Hope,Not Hope,1682
I can’t believe I took a bite of xalwa last week and it had peanuts in it like a snickers bar AQAS,Not Hope,Not Hope,8248
"#USER# #USER# #USER# Thank you #USER# 
Inshallah we are always here for our beloved country 👍❤️",Hope,Generalized Hope,2427
"And we just anticipate this

Teach children we accept this
And it's just a thing

You could easily have an NSFW toggle that hides anything but what an AI has decided could be recognized as valuable

Be it criticism or support

Instead of looking for the bots. #URL#",Not Hope,Not Hope,2772
"#USER# Well Nigel, in terms of the World Cup, which I should be going to, the clear reason the big corporations and governments do not wish to say anything against it is because of their CASH💰 these people choose wealth over morality every time.",Not Hope,Not Hope,2438
#USER# #USER# #USER# You wish it was last year. This is recent. Come back to reality. You liberals are about to take a big L come this Nov.,Hope,Unrealistic Hope,6416
#USER# a country where a Muslim gets arrested for saying “inshallah” but shooters are “troubled and need help” yeah no,Not Hope,Not Hope,3725
#USER# I wish but every one I've talked to at my parish says they wouldn't touch twitter with a ten foot pole,Hope,Unrealistic Hope,3837
#USER# They never hid this fact i don't think.  They want to be able to control your electricity remotely. That's why I have fought against it for years. I anticipate losing the battle in the long run.... but don't trust them for a second,Not Hope,Not Hope,7640
"#USER# Yep sad.  Russian mentality is screwed up for a variety of reasons; propaganda, brutalization in society &amp; economically, etc. Dimitri had a good article about their mindset. Here’s hoping they start to realize it’s a lost cause. Russia can’t compete with Ukraine’s western weapons",Hope,Generalized Hope,5475
