text,id,binary,multiclass
"Sam and Joe, I'm really liking this project, let's work together. Your company trusted believe me. And Congratulations on the launch..best wishes for future projects     ",5820,Hope,Realistic Hope
"God,  Oh shit really? I would hope they'd shed some more light on what happened to him in the future",4061,Hope,Generalized Hope
"Sarah,  Good morning, Bud!  Another good decision from SCOTUS this morning. The light is still bright and things are hopeful. Have a wonderful day, boo ",1621,Hope,Generalized Hope
i aspire to have the level of delusion to believe those thing 1 and thing 2 halloween costumes look better than the new version u cannot be serious #URL#,1754,Hope,Unrealistic Hope
"David and Peter, Projects are continuously attacked by hackers That is the nightmare of many projects. So what is your strategy to anticipate hacking possibilities on your platform? Sam,  What plan do you have in order not to let project  get hacked and cost investors?     ",401,Not Hope,Not Hope
"Ben,  49ers in the NFL are a private company. They make the rules just like a dress code. He kneeled in public school setting that's why he had to take it to court. I wish you well my friend and peace. Stay safe.",3994,Hope,Generalized Hope
"$SPY $SPX update: Looking excellent. Pretty neutral day with a push up to $392.94 as a high before settling a tad lower into close. the micro relevant .786 ($382.43) is seen as support here if downside were to occur, but I do anticipate a continuation of this upward trend. #KφF #URL# #URL#",1780,Hope,Generalized Hope
"Tom,  Schools are forbidden from initiating or sponsoring religious activities, including prayer, but religious groups are permitted to meet on school grounds after school, and students can pray to whatever or whomever they want at any time of day, as long as they do it privately. FYI",1624,Not Hope,Not Hope
I was in FCA in high-school and was heavily involved in church and with people I played sports with. We prayed on the field before and/or after games. We never had a coach lead prayer and we never outed anybody who didn't want to pray with us. Coaches shouldn't lead team prayer #URL#,1157,Not Hope,Not Hope
"Everyone, Problem is Gav, 'normal people' are not the brightest.  They will only accept the apocalypse when it sweeps them away......",1131,Not Hope,Not Hope
"Ben,  So how many elections has it been now that ""everything is on the line""?  I've lost count",11,Not Hope,Not Hope
I got baloons  A whole year has passed and it's been 365 days of hurdles and massive successes which I’m always grateful to God for and I pray he continues to grant.  I’m walking into abundance and increase in all spheres of my life  Happy Birthday to Me #URL#,6167,Hope,Generalized Hope
"God,  Sorry, I can’t count high enough to get an accurate count on either. ",1458,Not Hope,Not Hope
"Max,  between two, for all we know, eternities of nothing. Liken it unto a dream. Would you rather have a nightmare, or the great Nostos that we all yearn for? From what I've learned we can choose the language of our soul. The Bible and Shakespeare taught me that. we can",7369,Hope,Generalized Hope
"and I assure you that all of them along with myself wish you nothing but the best for the rest of your career. Thank you so much, and again...congrats!!",427,Hope,Generalized Hope
"Everyone, If you take out those that believe the land and The people of Israel are one there isn’t anyone else too talk to . Regardless, the offer on the table stands ,",4452,Not Hope,Not Hope
Really wish they ain’t have to cut some of the horror elements to keep it PG13 #URL#,6744,Hope,Unrealistic Hope
I wish my bf were less attractive to me like how am I supposed to stay mad,2102,Hope,Unrealistic Hope
"Tom,  What do you expect them to do?They don't have enough votes in the Senate and any EO will be stayed by SCOTUS.  Refusing to vote for the email lady was the last straw.  It will take decades to get back to 2016.",1372,Not Hope,Not Hope
—I wish to explore ’ more affectionate and nurturing side . This includes the possibility of her offering her bosom for comfort. If your muse happens to be on the receiving side   take this as an indication of possible lewd or——,6601,Not Hope,Not Hope
"Eric,  My guess is Ali, maybe he's cooperating to have some hope of leniency. A threat on his life from some mobster maybe changed his mind?",6458,Hope,Generalized Hope
"Matt,  Neither Sudan  or Egypt try conventional warfare with , they are known for their proxy war. Definitely they will call for tea break after 2-3 hrs fight. Count on me.",5076,Not Hope,Not Hope
"Mike and John, Do you belive all the polls? Do you believe most women of all colors are  pretty pissed off and will make their voices heard in November?",7379,Not Hope,Not Hope
"Sarah,  Hoping you see/respond to this: I work on UNLV campus and we weren't sure if you were advising us to evacuate our building/office and go to our fire evac location on campus or to LEAVE campus. 99% of staff were standing around outside. Can you advise?",4483,Not Hope,Not Hope
"Mike,  Hold out hope for better and do what we can in the meantime? Hard to be hopeful when things appear to be so bleak, but each day we wake up is another day we fight. ",1011,Hope,Generalized Hope
"John,  Gross. I believe it.  But… she was not a liberal here. She was a republican, who voted for republicans.",224,Not Hope,Not Hope
"Mike,  If u want to talk, u can dm me anytime, i’d love to&lt;3 take care and i hope i can see u in my tl more !!",2571,Hope,Generalized Hope
"It's precisely because you love shows, that you yearn for a place where you can give it your all. A place with friends who will accept you.",2727,Hope,Generalized Hope
