text,id,binary,multiclass
Mientras me persigno y le rezo a la Virgen del Carmen. Así e'. #URL#,5533,Not Hope,Not Hope
"No.. Yo ya no estoy para esperar.. Ni para rogar, ni competir con nadie.. Que va... Quien me da recibe.. #URL#",549,Not Hope,Not Hope
Creo que estamos ante el mejor episodio de esta primera temporada. #TheLastOfUs,4350,Hope,Generalized Hope
Bueno ojalá q cuando llegue este fin de semana pueda realmente quedarme en mi camaaaa sin movermeeee hasta que me pudra. Fin.,3593,Hope,Realistic Hope
"God y James, Marcos de boludo no tiene un pelo pero no creo que sepa con certeza del acomodo de ellas, máximo y sospecha, afuera va saber y va entender muchas cosas que seguro no le cierran, y se va enterar lo mal que hablaron ellas de él, Agus le va mostrar los clips.",770,Not Hope,Not Hope
"Max,  Bella Cora también te deseo una feliz y semana! Que tengas una linda noche",7598,Hope,Generalized Hope
"Peter,  Ojalá …… no me puedo imaginar la cantidad de MEMES que vamos a sacar en caso de que quedes como su candidata ",7672,Hope,Realistic Hope
"Jack,  Estoy esperando los míos... lo que es el vicio!",7499,Not Hope,Not Hope
"El que me regale oro pierde es su tiempo, no lo tolero, es algo innecesario para mí",2343,Not Hope,Not Hope
"Peter,  Ya mandé que las vendan en banco azteca, tío!! Las monedas de oro, no las cheves… bueno las dos, para esperar a todo dar en la fila jajajaja",2731,Not Hope,Not Hope
"Por cierto, estoy en vivo esperando el lanzamiento y reaccionando a todo en cuanto salga. Acompáñame. =D  #URL#",7744,Not Hope,Not Hope
"A ti te rezo samuel, gran personaje de la ciber comedia. #URL#",1395,Hope,Generalized Hope
"¿Tu dolor o anhelo me afecta? ¿NO? Pues sufre en silencio, yo no te debo nada.   A mamarla. #URL#",779,Not Hope,Not Hope
"En el gimnasio que estoy hacen desayuno, y creo que me estoy chingando como 200 en puro desayuno diario en té jugos y café, más la comida, y ps la mensualidad y la proteína aparte lol",8307,Not Hope,Not Hope
Me siento en un viaje comer rezar y seguir comiendo,6570,Not Hope,Not Hope
"RT Mike,  Desearía tener pinche carro para irme a la verga cuando quiera.",6859,Not Hope,Not Hope
"Señor, todo lo que anhelo te es conocido,mi suspiro no es un secreto para ti... Confío en ti y te dejo que respondas por mí.  -EEa",7716,Not Hope,Not Hope
"No puedo esperar a estar en la playa con mis amigas, tomando el sol, llenándome de arena, comiendo y bebiendo rico.",6101,Hope,Unrealistic Hope
"Max,  JAJAJAJAJAJAJA está esperando el mejor momento (?????  Precisamente por esa frase de ""Me las pagarán"" nosotros teorizamos que Spike se va a ""convertir"" en Wario o Waluigi, ya sabes que esa frase es muy de villano. Pero bueno, habrá que ver xD",3629,Hope,Generalized Hope
"Ben,  Abencia Meza te está esperando en la cárcel!!!! jajaja y a ella no le tienes que pagar por sexo!",1756,Not Hope,Not Hope
"Nick,  Jajajaja a ver quien gana esta batalla!   Creo que lo mejor para Oscares es que ellos muevan su evento ",7126,Not Hope,Not Hope
"bno, buenas noches mutis, les deseo una noche bien linda y que puedan descansar mucho gngn",1540,Hope,Generalized Hope
"Todas, Exacto. La persona del coche puede esperar 20 segundos para vivir mejor y tolerancia",1820,Not Hope,Not Hope
"14 - 17. The Killer Inside vol.6-9 - Hajime Inoryû y Shôta Itô  Esta historia es un auténtico 10. Es que qué bien narrada, qué bien encaja todo y qué bien están definidos los personajes. Me encanta. Deseando ver el final.  5/5 Edita: Panini Manga #URL#",3985,Hope,Generalized Hope
"Michael,  Que dejen a los pibes ser felices.. Les deseo lo mejor ",3582,Hope,Generalized Hope
"Mi familia y yo les mandamos un abrazo fraterno y una felicitación sincera por el #diadelafamilia, deseando pasen grandes momentos de unidad y que prevalezca la comunicación y apoyo. #URL#",4601,Hope,Generalized Hope
Personas a las que le rezo los Domingos y Miercoles #URL#,6848,Not Hope,Not Hope
