text,binary,multiclass,id
Mientras me persigno y le rezo a la Virgen del Carmen. Así e'. #URL#,Not Hope,Not Hope,5533
"No.. Yo ya no estoy para esperar.. Ni para rogar, ni competir con nadie.. Que va... Quien me da recibe.. #URL#",Not Hope,Not Hope,549
Creo que estamos ante el mejor episodio de esta primera temporada. #TheLastOfUs,Hope,Generalized Hope,4350
Bueno ojalá q cuando llegue este fin de semana pueda realmente quedarme en mi camaaaa sin movermeeee hasta que me pudra. Fin.,Hope,Realistic Hope,3593
"#USER# #USER# Marcos de boludo no tiene un pelo pero no creo que sepa con certeza del acomodo de ellas, máximo y sospecha, afuera va saber y va entender muchas cosas que seguro no le cierran, y se va enterar lo mal que hablaron ellas de él, Agus le va mostrar los clips.",Not Hope,Not Hope,770
#USER# Bella Cora también te deseo una feliz y semana! Que tengas una linda noche🙏🌹😘,Hope,Generalized Hope,7598
#USER# Ojalá …… no me puedo imaginar la cantidad de MEMES que vamos a sacar en caso de que quedes como su candidata 😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣🤣😂😂😂🤣😂😂🤣😂😂🤣😂😂😂😂😂,Hope,Realistic Hope,7672
#USER# Estoy esperando los míos... lo que es el vicio!,Not Hope,Not Hope,7499
"El que me regale oro pierde es su tiempo, no lo tolero, es algo innecesario para mí",Not Hope,Not Hope,2343
"#USER# Ya mandé que las vendan en banco azteca, tío!! Las monedas de oro, no las cheves… bueno las dos, para esperar a todo dar en la fila jajajaja",Not Hope,Not Hope,2731
"Por cierto, estoy en vivo esperando el lanzamiento y reaccionando a todo en cuanto salga. Acompáñame. =D  https://t.co/HYM2QzNZqK",Not Hope,Not Hope,7744
"A ti te rezo samuel, gran personaje de la ciber comedia. #URL#",Hope,Generalized Hope,1395
"¿Tu dolor o anhelo me afecta? ¿NO? Pues sufre en silencio, yo no te debo nada.   A mamarla. #URL#",Not Hope,Not Hope,779
"En el gimnasio que estoy hacen desayuno, y creo que me estoy chingando como 200 en puro desayuno diario en té jugos y café, más la comida, y ps la mensualidad y la proteína aparte lol",Not Hope,Not Hope,8307
Me siento en un viaje comer rezar y seguir comiendo,Not Hope,Not Hope,6570
RT #USER# Desearía tener pinche carro para irme a la verga cuando quiera.,Not Hope,Not Hope,6859
"Señor, todo lo que anhelo te es conocido,mi suspiro no es un secreto para ti... Confío en ti y te dejo que respondas por mí.  -EEa",Not Hope,Not Hope,7716
"No puedo esperar a estar en la playa con mis amigas, tomando el sol, llenándome de arena, comiendo y bebiendo rico.",Hope,Unrealistic Hope,6101
"#USER# JAJAJAJAJAJAJA está esperando el mejor momento (????? 🤣 Precisamente por esa frase de ""Me las pagarán"" nosotros teorizamos que Spike se va a ""convertir"" en Wario o Waluigi, ya sabes que esa frase es muy de villano. Pero bueno, habrá que ver xD",Hope,Generalized Hope,3629
#USER# Abencia Meza te está esperando en la cárcel!!!! jajaja y a ella no le tienes que pagar por sexo!,Not Hope,Not Hope,1756
#USER# Jajajaja a ver quien gana esta batalla! 🤣  Creo que lo mejor para Oscares es que ellos muevan su evento 😂,Not Hope,Not Hope,7126
"bno, buenas noches mutis, les deseo una noche bien linda y que puedan descansar mucho 💗💗gngn",Hope,Generalized Hope,1540
#USER# #USER# #USER# Exacto. La persona del coche puede esperar 20 segundos para vivir mejor y tolerancia,Not Hope,Not Hope,1820
"14 - 17. The Killer Inside vol.6-9 - Hajime Inoryû y Shôta Itô  Esta historia es un auténtico 10. Es que qué bien narrada, qué bien encaja todo y qué bien están definidos los personajes. Me encanta. Deseando ver el final.  5/5 Edita: Panini Manga #URL#",Hope,Generalized Hope,3985
#USER# Que dejen a los pibes ser felices.. Les deseo lo mejor 🤗,Hope,Generalized Hope,3582
"Mi familia y yo les mandamos un abrazo fraterno y una felicitación sincera por el #diadelafamilia, deseando pasen grandes momentos de unidad y que prevalezca la comunicación y apoyo. #URL#",Hope,Generalized Hope,4601
Personas a las que le rezo los Domingos y Miercoles #URL#,Not Hope,Not Hope,6848
Rezo por tus logros como si fueran los míos ❤️,Hope,Generalized Hope,7220
"Muerta de sueño pero ayer tire ""querés que cambiemos el horario y entre más temprano?"" 🤡",Not Hope,Not Hope,7839
Le creo a la iamferv porque yo también tuve amigas así,Not Hope,Not Hope,6269
"RT #USER# Ariel haciendo un canje de ESSEN, es literalmente mi sueño #URL#",Not Hope,Not Hope,7642
"Quizá ella podrá ser más bonita que yo, pero yo rezo por ti todas las noches para que todo te vaya increíble al día siguiente✨️",Hope,Generalized Hope,5337
Yo creo en el proceso de Pablo De Muner.   @PabloDeMuner,Not Hope,Not Hope,5123
RT #USER# Mi único deseo es que se vaya este calor del orto y que vuelva el frío,Hope,Unrealistic Hope,2811
"#USER# Maravilloso,  ojalá otras mascotas en igual situación fueran rescatadas ,se que las personas que lo hacen siempre serán bendecidas🐶❤",Hope,Generalized Hope,6226
"Ojalá que este domingo Zaldivia se transforme en un clon de Franco Baresi, para taparle la boca a los hinchas de la contra.  #VamosLaU ⚽️ #URL#",Hope,Unrealistic Hope,80
Hace mes y medio descubrí este temardon que es de los 2000 y es oro puro. No sé como no había escuchado esto antes  https://t.co/ULX0tw2Aoo,Not Hope,Not Hope,7207
Que ganas de tener a alguien que me espere con el almuerzo listo,Hope,Realistic Hope,1730
Quiero un perrito es lo único que quiero deseo y anhelo,Not Hope,Not Hope,8247
"Aunque no podamos volver a como solíamos ser, aunque estemos separados, desearía que al menos nos quedara la música.— Ugetsu Murata.",Not Hope,Not Hope,8256
"... creo que Ancelotti se ha sacado de la manga, es que estamos hablando de los últimos partidos o si quieres desde noviembre en Liga, me da igual, pero es que hay otros partidos y yo creo que Ancelotti, sí que ha hecho las cosas muy bien, creo que se es muy injusto con...",Not Hope,Not Hope,3334
#USER# le rezo todas las mañanas desde hace mas de un año,Not Hope,Not Hope,7825
"Ojalá volver a estar en ese momento porque después de un tiempo, por suerte bastante tiempo, mi vida empezó a ir cuesta abajo y sin frenos.",Hope,Unrealistic Hope,9089
"#USER# #USER# Una marcha sublime. La conocí en el CD del año 97 de la banda de música de la Esperanza de Triana y no entendía cómo no estaba en el ""top"" de marchas fúnebres, en la que hoy día sí la encontramos.",Not Hope,Not Hope,24
El que haya llamado a Sheng Long🐉que se guarde un deseo y pida que Barcelona sea campeón internacional 🏆💛❤️🌟 #URL#,Not Hope,Not Hope,3796
"#USER# #USER# A mi lo que me asusta un poco de Lance es que no toma buena decisiones ni lee bien defensivas. Cada vez que sale de la bolsa era para rezar un rosario. Purdy no tiene un buen brazo, pero saca agua de las piedras y en el peor de los casos no pierde ni la pelota ni yardas.",Not Hope,Not Hope,1548
"#USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# Esperando con mucha atención las palabras de nuestro Presidente Leonel,  #USER# #USER# #USER# #USER# #USER# #USER# #USER# #USER# #URL#",Not Hope,Not Hope,8362
"#USER# Eso te pasa por bocon,te la pasas criticando,atacando a Vinicius y de tu dizque equipo el Sevilla solo dices ""SOLO NOS QUEDA REZAR "" ahi no criticas nada,eres un bocaza.",Not Hope,Not Hope,8157
Es más estoy viendo curro Jiménez y cosiendo...yo creo que ya con eso...,Not Hope,Not Hope,5505
"resulta que me tocó recibir la llamada de uno de los de mantenimiento ((que no conozco y con el que nunca he hablado)) y se me escuchaba fatal el audio  tonces le digo ""espere me voy a la ventana que le escucho muy entrecortado""",Not Hope,Not Hope,7433
#USER# Ojalá si sea zenkai a Pajazu LF por qué lo tengo a 4 rojas 🤑🤑🤑🤑🤑🤙,Not Hope,Not Hope,9071
Renace la esperanza en Argentina.. la gente esta empezando a reaccionar como se debe reaccionar. #URL#,Hope,Generalized Hope,7524
"#USER# Ánimo ReZo, cuando quieras retar o hablar sin toxicidad de por medio aquí ando :(",Not Hope,Not Hope,9073
